Property_name,Total_rooms,Accomodation_size,Property_size,Location,Rent_per_month
Studio in the 7th district Invalides,1 Room,2 adults,30 m²,"Paris, 15th Arrondissement","€2,500"
Rent apartment in Paris during Olympic Games 2024,2 Rooms,4 adults,56 m²,"Paris, 15th Arrondissement","€5,000"
Stylish Private Room with Balcony in Paris 14th,1 Room,1 adult,10 m²,"Paris, 15th Arrondissement","€1,444"
Super flat in the heart of Paris,1 Room,2 adults,33 m²,"Paris, 15th Arrondissement","€2,630"
"Furnished suite with alcove and garden view, rooftop, garden, gym, home cinema, cleaning and maintenance services in a new residence",1 Room,2 adults,26 m²,"Paris, 15th Arrondissement","€2,555"
"Perfect, lovely studio with nice neighbours",1 Room,2 adults,25 m²,"Paris, 15th Arrondissement","€1,544"
Superb flat in the heart of Paris,1 Room,2 adults,33 m²,"Paris, 15th Arrondissement","€2,630"
"Nice, quiet and cosy studio in the heart of Paris and Olympic sites",1 Room,3 adults,31 m²,"Paris, 15th Arrondissement","€5,000"
Cozy & Convivial: 30m2 Apartment in Vanves,1 Room,2 adults,30 m²,"Paris, 15th Arrondissement","€1,400"
Functional and pleasant flat,3 Rooms,6 adults,140 m²,"Paris, 15th Arrondissement","€4,700"
Fantastic and wonderful studio,1 Room,2 adults,19 m²,"Paris, 15th Arrondissement","€2,050"
"Furnished studio with balcony, rooftop, garden, gym, home cinema, cleaning and maintenance services in a new residence",1 Room,2 adults,20 m²,"Paris, 15th Arrondissement","€2,150"
"Furnished studio with garden view, rooftop, garden, gym, home cinema, cleaning and maintenance services in a new residence",1 Room,2 adults,22 m²,"Paris, 15th Arrondissement","€2,300"
"Furnished suite with garden view, rooftop, garden, gym, home cinema, cleaning and maintenance services in a new residence",1 Room,2 adults,25 m²,"Paris, 15th Arrondissement","€2,600"
"Modern, quiet apartment",1 Room,2 adults,30 m²,"Paris, 15th Arrondissement","€3,000"
Superb Haussmannian type apartment,2 Rooms,3 adults,75 m²,"Paris, 15th Arrondissement","€3,222"
"Furnished studio with large balcony, rooftop, garden, gym, home cinema, cleaning and maintenance services in a new residence",1 Room,2 adults,22 m²,"Paris, 15th Arrondissement","€2,475"
Lovely studio in residence near the Eiffel Tower,1 Room,2 adults,18 m²,"Paris, 15th Arrondissement","€4,375"
Modern apartment near the Eiffel Tower,2 Rooms,2 adults,25 m²,"Paris, 15th Arrondissement","€4,650"
Beautiful studio in Paris 15,1 Room,2 adults,19 m²,"Paris, 15th Arrondissement","€10,000"
Fantastic bright apartment,2 Rooms,3 adults,47 m²,"Paris, 15th Arrondissement","€2,150"
STUDENT FLAT IN  BRETEUIL/INVALIDES/SEVRES LECOURBE,1 Room,1 adult,9 m²,"Paris, 15th Arrondissement",€905
Elegant Apartment - Balcony - Brancion,2 Rooms,2 adults,50 m²,"Paris, 16th Arrondissement","€3,111"
"Quiet, charming 2-room flat",2 Rooms,2 adults,44 m²,"Paris, 16th Arrondissement","€2,000"
Gorgeous studio in the 16th district,1 Room,1 adult,24 m²,"Paris, 16th Arrondissement","€1,300"
"Bright, quiet home in Bretten",3 Rooms,5 adults,69 m²,"Paris, 16th Arrondissement","€4,250"
Fantastic and great home in Paris,2 Rooms,2 adults,30 m²,"Paris, 16th Arrondissement","€1,800"
Amazing large flat with Eiffel Tower view,3 Rooms,4 adults,52 m²,"Paris, 16th Arrondissement","€3,000"
Charming 2bedroom in a Hausmannian peaceful building Paris district 16th,3 Rooms,4 adults,65 m²,"Paris, 16th Arrondissement","€3,816"
"Cosy, functional studio",1 Room,1 adult,11 m²,"Paris, 16th Arrondissement",€850
Charming studio close to the Eiffel Tower with a fan,1 Room,1 adult,10 m²,"Paris, 16th Arrondissement",€900
Studio Villaret – Place de L’Etoile,1 Room,1 adult,15 m²,"Paris, 16th Arrondissement","€1,400"
Charming apartment near Quais de Seine,3 Rooms,4 adults,69 m²,"Paris, 16th Arrondissement","€6,722"
Furnished 4-room Apartment - Spacious and Stylish Living,4 Rooms,9 adults,92 m²,"Paris, 16th Arrondissement","€4,564"
Beautiful loft in a nice area,3 Rooms,6 adults,78 m²,"Paris, 16th Arrondissement","€4,300"
apt climatisé luxury Champs Elysées,3 Rooms,6 adults,100 m²,"Paris, 16th Arrondissement","€5,730"
Luminous property is a spacious 105m2 2 bedroom 2 bathroom,3 Rooms,4 adults,105 m²,"Paris, 16th Arrondissement","€5,880"
Wonderful apartment 6P -Passy Trocadero,3 Rooms,6 adults,67 m²,"Paris, 16th Arrondissement","€3,150"
Magnificent flat 1BDR Rue du commerce,2 Rooms,2 adults,46 m²,"Paris, 16th Arrondissement","€2,812"
Apartement Avenue de Versailles,3 Rooms,2 adults,85 m²,"Paris, 16th Arrondissement","€3,788"
Elegant 76m² flat in the heart of the 15th arrondissement - Mobility lease,2 Rooms,4 adults,76 m²,"Paris, 16th Arrondissement","€5,889"
Charming Studio - HenriMartin/Trocadero,1 Room,2 adults,20 m²,"Paris, 16th Arrondissement","€1,517"
"Lovely and neat flat in excellent location, Boulogne-Billancourt",1 Room,1 adult,26 m²,"Paris, 16th Arrondissement","€1,200"
Wonderful flat rue de la Convention,4 Rooms,4 adults,76 m²,"Paris, 16th Arrondissement","€4,300"
Furnished Apartment for Rent - 3 Rooms - 74m2 - Auteuil - St Cloud,3 Rooms,4 adults,74 m²,"Paris, 16th Arrondissement","€3,861"
Modern Comfort Haven,2 Rooms,3 adults,43 m²,"Paris, 16th Arrondissement","€3,222"
"42m2 apartment with one bedroom in the 16th arrondissement, close to transportation.",2 Rooms,2 adults,42 m²,"Paris, 16th Arrondissement","€2,667"
"Cozy 2BR apt in Paris-16th near shops restaurants & transport, newly renovated.  Sleeps up to 5.",3 Rooms,4 adults,70 m²,"Paris, 16th Arrondissement","€3,300"
"Very nice flat, furnished with care with stunning view - EIFFEL TOWER",1 Room,2 adults,40 m²,"Paris, 16th Arrondissement","€2,056"
Charming Studio in the heart of Paris - Close to the Champs-Élysées and the Eiffel Tower,1 Room,2 adults,20 m²,"Paris, 16th Arrondissement","€1,778"
"Co-living : 12m² bedroom, fully furnished.",1 Room,1 adult,12 m²,"Paris, 16th Arrondissement","€1,233"
1 bedroom apartment between Ternes and Porte Maillot,2 Rooms,2 adults,55 m²,"Paris, 16th Arrondissement","€2,618"
Quiet apartment in the heart of the 15e,2 Rooms,2 adults,55 m²,"Paris, 16th Arrondissement","€2,618"
Elegant 2BDR  Apartment with Haussmannian Charm - Flandrin / Rue de la pompe,3 Rooms,6 adults,45 m²,"Paris, 16th Arrondissement","€3,111"
ID 404 modern apartment with Eiffel Tower view in Avenue Lamballe / 16th arrondissement,1 Room,4 adults,70 m²,"Paris, 16th Arrondissement","€4,200"
Elegant New Apartment with Balcony-16ème,2 Rooms,2 adults,52 m²,"Paris, 16th Arrondissement","€3,111"
Cosy apartment close to Champ de Mars,2 Rooms,2 adults,42 m²,"Paris, 16th Arrondissement","€3,333"
1-bedroom apartment close to the Eiffel Tower,2 Rooms,2 adults,55 m²,"Paris, 16th Arrondissement","€3,100"
Magnificent flat 2P - Auteuil / Saint Cloud,2 Rooms,2 adults,50 m²,"Paris, 16th Arrondissement","€3,056"
Charming Cozy Studio: Smartly Designed 9m2 Retreat,1 Room,2 adults,9 m²,"Paris, 16th Arrondissement","€1,178"
Co-living : Very large 18m² bedroom,1 Room,1 adult,18 m²,"Paris, 16th Arrondissement","€1,439"
Charming flat - FELIX FAURE,2 Rooms,2 adults,29 m²,"Paris, 16th Arrondissement","€2,746"
Eiffel Tower haven,1 Room,2 adults,52 m²,"Paris, 16th Arrondissement","€3,222"
"Cute, beautiful apartment for 4 people next to eiffel tower with dyson fan",2 Rooms,4 adults,50 m²,"Paris, 16th Arrondissement","€3,490"
"Charming Apartment for Rent with View Over Avenue Emile Zola, Paris",2 Rooms,2 adults,55 m²,"Paris, 16th Arrondissement","€2,778"
beautiful beauséjour apt in the city,1 Room,2 adults,43 m²,"Paris, 16th Arrondissement","€2,280"
Charming flat - Paris 15ème,2 Rooms,2 adults,40 m²,"Paris, 16th Arrondissement","€3,544"
"Cosy, fully furnished flat",1 Room,2 adults,35 m²,"Paris, 16th Arrondissement","€2,111"
Family apartment in the heart of the 16th – 2 bedrooms – 2 bathrooms,3 Rooms,6 adults,100 m²,"Paris, 16th Arrondissement","€4,777"
Elegant apartment in the heart of the 4th arrondissement,1 Room,2 adults,40 m²,"Paris, 16th Arrondissement","€2,444"
Apartment 2 rooms - 32m² - Champ de Mars,2 Rooms,2 adults,32 m²,"Paris, 16th Arrondissement","€2,321"
Superb apartment - Pont de Grenelle,3 Rooms,4 adults,63 m²,"Paris, 16th Arrondissement","€4,000"
ID 412 - cozy studio in the 15th,1 Room,2 adults,13.12 m²,"Paris, 16th Arrondissement","€1,500"
Modern & cozy suite in vibrant neighbourhood,3 Rooms,2 adults,25 m²,"Paris, 16th Arrondissement","€1,900"
Co-living : Fully furnished 15m² bedroom,1 Room,1 adult,15 m²,"Paris, 16th Arrondissement","€1,406"
1-bedroom located in the golden triangle of Paris,2 Rooms,3 adults,80 m²,"Paris, 16th Arrondissement","€4,920"
Modern studio - MONTEVIDEO/PORTE DAUPHINE,1 Room,2 adults,23 m²,"Paris, 16th Arrondissement","€1,644"
Co-living : 14m² room in 16 arr.,1 Room,1 adult,14 m²,"Paris, 16th Arrondissement","€1,106"
Cosy little flat in Vaugirard,1 Room,2 adults,26 m²,"Paris, 16th Arrondissement","€2,050"
Charming Apartment with Stunning Views,2 Rooms,2 adults,22 m²,"Paris, 16th Arrondissement","€2,094"
Studio with balcony in Porte Dauphine,1 Room,2 adults,46 m²,"Paris, 16th Arrondissement","€3,865"
Studio of 33m2 located at only 14 minutes walk from the famous Trocadero square.,1 Room,2 adults,33 m²,"Paris, 16th Arrondissement","€2,556"
Studio in Auteuil,1 Room,2 adults,40 m²,"Paris, 16th Arrondissement","€3,739"
Cosy 18m2 studio.,1 Room,2 adults,18 m²,"Paris, 16th Arrondissement","€1,944"
Stylish and nicely furnished apartment with plenty of storage space,2 Rooms,2 adults,32 m²,"Paris, 16th Arrondissement","€2,389"
Co-Living : 13m² Bedroom in the heart of Paris 16th Arrondissement,1 Room,1 adult,13 m²,"Paris, 16th Arrondissement","€1,611"
"Amazing & fantastic flat, Paris",2 Rooms,2 adults,65 m²,"Paris, 16th Arrondissement","€5,340"
Beautiful furnished room close to the Eiffel Tower.,1 Room,5 adults,18 m²,"Paris, 16th Arrondissement","€1,444"
Elegant and Fully Equipped Apartment for a Memorable Stay,3 Rooms,6 adults,100 m²,"Paris, 16th Arrondissement","€5,611"
Passy Trocadéro Chic,2 Rooms,4 adults,50 m²,"Paris, 16th Arrondissement","€3,700"
Studio Victor H - Place de l'Etoile,1 Room,1 adult,18 m²,"Paris, 16th Arrondissement","€1,944"
Charming apartment in Vanves !,1 Room,2 adults,30 m²,"Paris, 16th Arrondissement","€1,400"
Cosy Studio Place Victor Hugo,1 Room,2 adults,27 m²,"Paris, 16th Arrondissement","€2,344"
Studio 26m² - Champs Elysées - Etoile,1 Room,2 adults,26 m²,"Paris, 16th Arrondissement","€2,076"
Fantastic and amazing studio (Suresnes),2 Rooms,2 adults,46 m²,"Paris, 16th Arrondissement","€1,750"
Charming apartment - TERNES/ARC DE TRIOMPHE,3 Rooms,3 adults,57 m²,"Paris, 16th Arrondissement","€4,889"
RAPHAËL SUITE – LA MUETTE – OECD AREA,3 Rooms,6 adults,148 m²,"Paris, 16th Arrondissement","€15,000"
Cozy 1BR Apartment with Convenient Access to Public Transportation - FELIX FAURE,2 Rooms,3 adults,32 m²,"Paris, 16th Arrondissement","€2,667"
Charming Studio in the Heart of Paris' Chic 16th Arrondissement,1 Room,4 adults,33 m²,"Paris, 16th Arrondissement","€2,556"
Superb 20m² studio in Neuilly sur Seine,1 Room,2 adults,20 m²,"Paris, 16th Arrondissement","€2,000"
Completely renovated and ideally located room,1 Room,1 adult,10 m²,"Paris, 16th Arrondissement","€1,067"
Studio Pergolese - Porte Maillot,1 Room,1 adult,22 m²,"Paris, 16th Arrondissement","€1,889"
Bright 1-bedroom apartment located on the 16th district,2 Rooms,2 adults,49 m²,"Paris, 16th Arrondissement","€3,600"
"Charming modern apartment of 25m2,  located in one of the most elegant and prestigious neighborhoods of Paris.",2 Rooms,2 adults,25 m²,"Paris, 16th Arrondissement","€2,067"
Lovely apartment in a calm property,2 Rooms,2 adults,45 m²,"Paris, 16th Arrondissement","€2,656"
"Cosy Studio of 14m2 in the 16th district, close to transport",1 Room,2 adults,14 m²,"Paris, 16th Arrondissement","€1,894"
"Spacious Three-Room Apartment in Trocadéro, 16th Arrondissement, Paris",3 Rooms,3 adults,82 m²,"Paris, 16th Arrondissement","€4,333"
1 room in Trocadéro (16 Arr.),1 Room,2 adults,28 m²,"Paris, 16th Arrondissement","€3,335"
"45 m² Two-Room Apartment in the Ternes District, 17th Arrondissement of Paris",2 Rooms,2 adults,45 m²,"Paris, 16th Arrondissement","€2,500"
Stylish 30m² Apartment with Eiffel Tower Views in Paris' Prestigious 16th District and Convenient Public Transportation,2 Rooms,2 adults,50 m²,"Paris, 16th Arrondissement","€4,222"
ID 409 - one bedroom apartment in rue Lecourbe 15th arr,1 Room,2 adults,41 m²,"Paris, 16th Arrondissement","€5,000"
Rental Furnished Appartment - 3 Rooms - 62m²,2 Rooms,3 adults,62 m²,"Paris, 16th Arrondissement","€4,556"
Charming studio overlooking the Bois de Boulogne,2 Rooms,2 adults,34 m²,"Paris, 16th Arrondissement","€2,000"
Studio 30m² : Portes de Versailles - Javel - Convention,1 Room,2 adults,30 m²,"Paris, 16th Arrondissement","€2,394"
Paris 16th: Awesome and bright studio,1 Room,1 adult,21 m²,"Paris, 16th Arrondissement","€2,222"
Luxury Apartment Paris Trocadero,2 Rooms,2 adults,32 m²,"Paris, 16th Arrondissement","€2,200"
50m² flat nestled between the Champs-Élysées and the Arc de Triomphe.,2 Rooms,1 adult,50 m²,"Paris, 16th Arrondissement","€4,667"
Cosy studio in the most bourgeois district of Paris,1 Room,1 adult,11 m²,"Paris, 16th Arrondissement","€1,333"
70 m² 2 rooms flat  15mn walk from Tour Eiffel in a peaceful district,3 Rooms,4 adults,70 m²,"Paris, 16th Arrondissement","€2,700"
"CHIC 1-BEDROOM APARTMENT IN PRIME LOCATION(OVERLOOKING PASSY PARC, STEPS FROM EIFFEL TOWER)",2 Rooms,4 adults,60 m²,"Paris, 16th Arrondissement","€2,700"
Stunning studio - Champs Elysées,1 Room,2 adults,15 m²,"Paris, 16th Arrondissement","€1,833"
Lovely bathed in light apartment in Paris,2 Rooms,2 adults,25 m²,"Paris, 16th Arrondissement","€1,250"
Amazing flat near Trocadero,2 Rooms,2 adults,55 m²,"Paris, 16th Arrondissement","€4,556"
Passy - Trocadero I 1 Bedroom,2 Rooms,3 adults,80 m²,"Paris, 16th Arrondissement","€7,800"
Lovely Studio with balcony - 16th arrd,1 Room,2 adults,15 m²,"Paris, 16th Arrondissement","€1,667"
Studette **CLIM & View of the Eiffel Tower** / Victor Hugo,1 Room,2 adults,10 m²,"Paris, 16th Arrondissement","€2,078"
Spacious and Bright 99m² Apartment in the Chic Suburb of Neuilly-sur-Seine,4 Rooms,6 adults,99 m²,"Paris, 16th Arrondissement","€7,866"
Cozy Studio in Paris' 16th District with Kitchenette and High-Speed Internet,1 Room,1 adult,10 m²,"Paris, 16th Arrondissement","€1,500"
Perfect loft - great view!,2 Rooms,2 adults,52 m²,"Paris, 16th Arrondissement","€3,500"
Cosy Studio 2pers. - Quais de Seine / Eiffel Tower,1 Room,2 adults,20 m²,"Paris, 16th Arrondissement","€2,466"
Cosy studio in the 16th district with a splendid view on the roofs of Paris!,1 Room,1 adult,10 m²,"Paris, 16th Arrondissement","€1,667"
Charming Studio in the Heart of the 17th District - Only a Short Stroll Away from the Iconic Arc de Triomphe!,1 Room,2 adults,11 m²,"Paris, 16th Arrondissement","€1,506"
Rental Furnished flat - 3 rooms - 63m² - Champ de Mars,3 Rooms,3 adults,63 m²,"Paris, 16th Arrondissement","€6,623"
Neuilly sur Seine - Illuminated 110m² Apartment on the 3rd Floor with Elevator,3 Rooms,5 adults,110 m²,"Paris, 16th Arrondissement","€8,444"
Cosy Studio 2P / Parc Georges Brassens,1 Room,2 adults,15 m²,"Paris, 16th Arrondissement","€2,042"
Charming 16m² Studio 15 Minutes Walk from the Famous Place du Trocadero,1 Room,2 adults,16 m²,"Paris, 16th Arrondissement","€2,556"
Cosy Studio 2P / Parc Georges Brassens,1 Room,2 adults,13 m²,"Paris, 16th Arrondissement","€2,042"
Cosy studio near Quais de Seine,1 Room,1 adult,10 m²,"Paris, 16th Arrondissement","€2,222"
Beautiful apartment in the heart of the 16th arrondissement,4 Rooms,6 adults,142 m²,"Paris, 16th Arrondissement","€13,333"
"Welcome Home: Charming Apartment, 5 minutes walk from Champ de Mars",3 Rooms,6 adults,65 m²,"Paris, 16th Arrondissement","€3,667"
Great & nice studio with nice neighbours,2 Rooms,2 adults,75 m²,"Paris, 16th Arrondissement","€4,950"
Beautifully Renovated Duplex with Mezzanine and Great Location in Paris,1 Room,4 adults,20 m²,"Paris, 16th Arrondissement","€2,000"
Modern and Comfortable Paris 16th,2 Rooms,2 adults,50 m²,"Paris, 16th Arrondissement","€2,500"
Very quiet flat a stone's throw from La Défense,2 Rooms,2 adults,48 m²,"Paris, 16th Arrondissement","€1,600"
Charming apartment 16th District. Auteuil Mirabeau,2 Rooms,4 adults,44 m²,"Paris, 16th Arrondissement","€2,950"
An Urban Cocoon,1 Room,2 adults,37 m²,"Paris, 16th Arrondissement","€2,389"
Neat & modern home in Bretten,2 Rooms,2 adults,28 m²,"Paris, 16th Arrondissement","€5,300"
Lovely one bedroom flat in the center of Puteaux near la Défense,2 Rooms,2 adults,42 m²,"Paris, 16th Arrondissement","€2,944"
"Neat, beautiful apartment  of two bedrooms (Puteaux)",3 Rooms,2 adults,64 m²,"Paris, 16th Arrondissement","€3,611"
"Charming, bright home, Boulogne-Billancourt",2 Rooms,2 adults,54 m²,"Paris, 16th Arrondissement","€3,700"
Charming Apartment in the 16th Arrondissement of Paris,2 Rooms,2 adults,50 m²,"Paris, 16th Arrondissement","€4,222"
Cute & renovated apartment in the heart of prestigious XVIe arrondissement,3 Rooms,4 adults,60 m²,"Paris, 16th Arrondissement","€4,400"
Modern suite conveniently located,2 Rooms,3 adults,35 m²,"Paris, 16th Arrondissement","€2,000"
Intergenerational Residence: Charming T3 with Spacious Common Areas,2 Rooms,2 adults,40 m²,"Paris, 16th Arrondissement","€2,889"
Architect modern apartment 10 min from Eiffel Tower (with balcony),2 Rooms,2 adults,34 m²,"Paris, 16th Arrondissement","€3,400"
Cosy 1 bedroom apartment in Paris 15,2 Rooms,4 adults,31 m²,"Paris, 16th Arrondissement","€1,700"
Charm and Elegance in the 16th Arrondissement of Paris,2 Rooms,2 adults,61 m²,"Paris, 16th Arrondissement","€5,444"
Upscale flat just a short walk from the Arc de Triomphe,3 Rooms,5 adults,80 m²,"Paris, 16th Arrondissement","€6,526"
Quiet & gorgeous suite in the heart of town,1 Room,6 adults,67 m²,"Paris, 16th Arrondissement","€5,000"
Paris 15th: Private Room near Eiffel Tower,1 Room,1 adult,10 m²,"Paris, 16th Arrondissement","€1,444"
"Quiet appartment, with view on a garden",3 Rooms,4 adults,84 m²,"Paris, 16th Arrondissement","€3,075"
Luxury Retreat,4 Rooms,8 adults,293 m²,"Paris, 16th Arrondissement","€22,000"
Super flat in the heart of Paris,1 Room,2 adults,33 m²,"Paris, 16th Arrondissement","€2,630"
Luxury apartment 1 min from Eiffel Tower,2 Rooms,2 adults,42 m²,"Paris, 16th Arrondissement","€4,850"
Superb flat in the heart of Paris,1 Room,2 adults,33 m²,"Paris, 16th Arrondissement","€2,630"
"Nice, quiet and cosy studio in the heart of Paris and Olympic sites",1 Room,3 adults,31 m²,"Paris, 16th Arrondissement","€5,000"
Luxury Retreat,4 Rooms,8 adults,260 m²,"Paris, 16th Arrondissement","€25,000"
Functional and pleasant flat,3 Rooms,6 adults,140 m²,"Paris, 16th Arrondissement","€4,700"
Luxury Retreat,4 Rooms,8 adults,220 m²,"Paris, 16th Arrondissement","€20,000"
Luxurious flat with a view on the Bois de Boulogne,7 Rooms,8 adults,200 m²,"Paris, 16th Arrondissement","€14,000"
"Modern, quiet apartment",1 Room,2 adults,30 m²,"Paris, 16th Arrondissement","€3,000"
Charming 3 Bedroom Triplex in the heart of Boulogne,3 Rooms,6 adults,115 m²,"Paris, 16th Arrondissement","€20,000"
Beautiful Independent Flat in Paris,2 Rooms,2 adults,35 m²,"Paris, 17th Arrondissement","€1,850"
Quiet city-centre flat in Clichy-la-Garenne,1 Room,3 adults,50 m²,"Paris, 17th Arrondissement","€2,000"
Cozy studio in the 17th arrondissement,1 Room,1 adult,9 m²,"Paris, 17th Arrondissement",€620
Awesome suite conveniently located,2 Rooms,4 adults,50 m²,"Paris, 17th Arrondissement","€2,650"
Studio Villaret – Place de L’Etoile,1 Room,1 adult,15 m²,"Paris, 17th Arrondissement","€1,400"
apt climatisé luxury Champs Elysées,3 Rooms,6 adults,100 m²,"Paris, 17th Arrondissement","€5,730"
Luminous property is a spacious 105m2 2 bedroom 2 bathroom,3 Rooms,4 adults,105 m²,"Paris, 17th Arrondissement","€5,880"
Modern Comfort Haven,2 Rooms,3 adults,43 m²,"Paris, 17th Arrondissement","€3,222"
Co-living : Large 10 m² bedroom,1 Room,1 adult,10 m²,"Paris, 17th Arrondissement",€933
Co-living : Large 10 m² bedroom,1 Room,1 adult,10 m²,"Paris, 17th Arrondissement",€911
Charming Renovated Apartment with Elevator in a Historic Building - Spacious 4-Bedroom Gem,5 Rooms,6 adults,157 m²,"Paris, 17th Arrondissement","€13,111"
"Nice, great apartment in the heart of town (Clichy)",2 Rooms,3 adults,35 m²,"Paris, 17th Arrondissement","€1,799"
"Co-living : 12m² bedroom, fully furnished.",1 Room,1 adult,12 m²,"Paris, 17th Arrondissement","€1,233"
1 bedroom apartment between Ternes and Porte Maillot,2 Rooms,2 adults,55 m²,"Paris, 17th Arrondissement","€2,618"
"Discover this little urban gem in the heart of Paris's 9th arrondissement - modern and bright, it combines Parisian charm with comfort.",2 Rooms,2 adults,37 m²,"Paris, 17th Arrondissement","€2,667"
"Modern suite conveniently located, Paris",2 Rooms,5 adults,60 m²,"Paris, 17th Arrondissement","€2,350"
"Quiet apartment in Levallois, near Paris center",1 Room,2 adults,45 m²,"Paris, 17th Arrondissement","€2,617"
Charming Studio of 11m2 located in the 17th district of Paris. Close to transport.,1 Room,2 adults,11 m²,"Paris, 17th Arrondissement","€1,678"
Modern flat near Parc Monceau,1 Room,2 adults,40 m²,"Paris, 17th Arrondissement","€3,222"
"Beautiful flat in the 17th arrondissement of Paris, avenue de Wagram, near the Arc de Triomphe",2 Rooms,2 adults,40 m²,"Paris, 17th Arrondissement","€2,333"
Modern 5th Floor Apartment with Elevator Access,1 Room,2 adults,50 m²,"Paris, 17th Arrondissement","€2,889"
Atypical apartment with balcony,1 Room,2 adults,36 m²,"Paris, 17th Arrondissement","€3,144"
Chic Parisian Retreat: Modern Studio in the Heart of the 17th Arrondissement,1 Room,2 adults,35 m²,"Paris, 17th Arrondissement","€2,000"
"Cute, charming flat in the 17th",3 Rooms,4 adults,90 m²,"Paris, 17th Arrondissement","€4,890"
"Elegant 2-Bedroom Apartment with Eiffel Tower View | 15th District, Paris",1 Room,2 adults,25 m²,"Paris, 17th Arrondissement","€1,850"
Co-living : Very large 18m² bedroom,1 Room,1 adult,18 m²,"Paris, 17th Arrondissement","€1,439"
Beautiful City Apartment,2 Rooms,2 adults,35 m²,"Paris, 17th Arrondissement","€2,566"
Nice parisian flat in trendy Batignolles neighborhood,2 Rooms,2 adults,40 m²,"Paris, 17th Arrondissement","€1,800"
Charming Studio of 11m2 located in the 17th district of Paris. Close to transport.,1 Room,2 adults,11 m²,"Paris, 17th Arrondissement","€1,678"
Co-living : Fully furnished 15m² bedroom,1 Room,1 adult,15 m²,"Paris, 17th Arrondissement","€1,406"
Cosy appartment-Levallois/Perret,2 Rooms,2 adults,40 m²,"Paris, 17th Arrondissement","€2,078"
Magnificent loft 2BDR-4pax Batignolles 2,3 Rooms,4 adults,75 m²,"Paris, 17th Arrondissement","€5,170"
Movely studio well located,1 Room,2 adults,25 m²,"Paris, 17th Arrondissement","€1,600"
Paris 17th: Bright apartment with balcony,2 Rooms,2 adults,32 m²,"Paris, 17th Arrondissement","€3,111"
Modern Serenity Oasis in the Heart of the City,3 Rooms,6 adults,87 m²,"Paris, 17th Arrondissement","€5,000"
Charming Studio near Parc Monceau,1 Room,2 adults,11 m²,"Paris, 17th Arrondissement","€1,556"
"Cosy studio located in the 8th arrondissement of Paris, close to the Champs Elysées and the Arc de Triomphe.",1 Room,2 adults,18 m²,"Paris, 17th Arrondissement","€1,944"
Stylish and nicely furnished apartment with plenty of storage space,2 Rooms,2 adults,32 m²,"Paris, 17th Arrondissement","€2,389"
Caulaincourt Charm,1 Room,2 adults,73 m²,"Paris, 17th Arrondissement","€4,433"
"Beautifully renovated studio for Rent in the 17th Arrondissement with Eiffel Tower view, Near Paris Sorbonne University!",1 Room,2 adults,20 m²,"Paris, 17th Arrondissement","€1,250"
"Charming Studio Retreat in the Heart of Levallois-Perret: Comfort and Style""",1 Room,2 adults,19 m²,"Paris, 17th Arrondissement","€2,000"
Little Haussmann,2 Rooms,4 adults,43 m²,"Paris, 17th Arrondissement","€2,300"
Very nice studio 2 pers. / Batignolles - Nollet,1 Room,2 adults,27 m²,"Paris, 17th Arrondissement","€2,277"
Flat located in great area,2 Rooms,2 adults,32 m²,"Paris, 17th Arrondissement","€2,556"
Charming apartment - TERNES/ARC DE TRIOMPHE,3 Rooms,3 adults,57 m²,"Paris, 17th Arrondissement","€4,889"
Apartment with Balcony in a Sleek Setting,1 Room,2 adults,34 m²,"Paris, 17th Arrondissement","€2,778"
Charming 2 Bedroom Apartment Rue Lemercier,2 Rooms,4 adults,55 m²,"Paris, 17th Arrondissement","€6,000"
Modern and Spacious Parisian Apartment in the 17th Arrondissement,3 Rooms,4 adults,61 m²,"Paris, 17th Arrondissement","€4,333"
Batignolles - A charming 3 room apartment,2 Rooms,3 adults,50 m²,"Paris, 17th Arrondissement","€2,300"
Studio Pergolese - Porte Maillot,1 Room,1 adult,22 m²,"Paris, 17th Arrondissement","€1,889"
"Lovely, well-furnished studio in Clichy,",1 Room,2 adults,33 m²,"Paris, 17th Arrondissement","€2,667"
Paris 9th: Cozy and Connected: 55m2 Apartment with Smart Amenities and Comfy Bedrooms,3 Rooms,4 adults,55 m²,"Paris, 17th Arrondissement","€4,556"
"45 m² Two-Room Apartment in the Ternes District, 17th Arrondissement of Paris",2 Rooms,2 adults,45 m²,"Paris, 17th Arrondissement","€2,500"
"Heart of Paris: Stylish 1BR with Elevator, WiFi & Modern Amenities",2 Rooms,2 adults,33 m²,"Paris, 17th Arrondissement","€2,778"
"Levallois-Perret - Neat, perfect studio",1 Room,1 adult,9 m²,"Paris, 17th Arrondissement","€1,222"
Cosy 2 Room apartment - Batignolles,2 Rooms,2 adults,34 m²,"Paris, 17th Arrondissement","€2,889"
Rental Furnished Appartment - 3 Rooms - 62m²,2 Rooms,3 adults,62 m²,"Paris, 17th Arrondissement","€4,556"
Superb 98m² Apartment - 8th Floor with Elevator in Levallois-Perret,7 Rooms,5 adults,98 m²,"Paris, 17th Arrondissement","€5,944"
50m² flat nestled between the Champs-Élysées and the Arc de Triomphe.,2 Rooms,1 adult,50 m²,"Paris, 17th Arrondissement","€4,667"
"Charming duplex 50m², Paris",2 Rooms,2 adults,50 m²,"Paris, 17th Arrondissement","€2,333"
